雏鹰	<b0> <b1> <b0> <b0> <b0> <b1> 	<m> <h> <h> <h> <h> <h>	雏鹰飞向天空
美丽	<b0> <b1> <b0> <b0> <b1> <b0> <b0> <b1> 	<l> <h> <l> <h> <l> <l> <l> <h>	展示着自己的美丽
乌云	<b0> <b1> <b0> <b1> <b0> <b1> 	<h> <m> <h> <h> <m> <m>	乌云悄悄来临
大雨	<b0> <b1> <b0> <b1> <b0> <b0> <b0> <b1> <b0> 	<h> <l> <h> <l> <h> <h> <m> <m> <l>	一场大雨被风挟持了
绿叶	<b0> <b1> <b0> <b0> <b1> 	<h> <h> <h> <h> <m>	绿叶在挣扎
鲜花	<b0> <b1> <b0> <b0> <b0> <b1> 	<l> <m> <m> <l> <h> <h>	羽毛和着鲜花
巢	<b0> <b1> <b0> <b0> <b1> <b0> <b0> 	<h> <l> <h> <h> <h> <l> <m>	叩响暗下去的巢
伤口	<b0> <b1> <b0> <b1> 	<h> <h> <h> <l>	一道伤口
天空	<b0> <b0> <b0> <b0> <b0> <b1> <b0> <b1> <b0> 	<h> <h> <h> <l> <h> <h> <h> <h> <l>	被更高的天空覆盖了
大卡车	<b0> <b0> <b1> <b0> <b0> <b1> <b0> <b0> <b1> <b0> <b0> <b1> <b0> <b1> 	<h> <l> <h> <h> <m> <l> <m> <m> <h> <l> <m> <l> <h> <l>	大卡车将泥土和石块往海里倾倒
声音	<b0> <b0> <b1> <b0> <b0> <b1> <b0> <b1> <b0> <b0> 	<h> <h> <m> <l> <h> <h> <m> <h> <l> <l>	轰隆隆的声音传出很远
玉米	<b0> <b0> <b1> <b0> 	<h> <l> <h> <l>	玉米地里
玉米棒子	<b0> <b1> <b0> <b0> <b0> <b0> <b0> <b0> <b1> 	<l> <m> <h> <h> <l> <h> <l> <h> <l>	女人正掰着玉米棒子
黝红	<b0> <b1> <b0> <b0> <b1> <b0> <b1> <b0> <b1> <b0> <b0> <b0> <b1> 	<l> <m> <l> <l> <m> <h> <h> <h> <h> <h> <h> <h> <h>	黝红的脸庞映照天空她不知道
蓝色	<b0> <b1> <b0> <b0> <b1> <b0> <b0> <b0> <b1> 	<h> <h> <l> <m> <h> <l> <l> <h> <h>	天上的蓝色少了一块
厨房	<b0> <b0> <b0> <b1> <b0> <b0> <b0> <b0> 	<l> <l> <m> <m> <h> <l> <l> <h>	有了厨房就有了家
歌声和面	<b0> <b0> <b1> <b0> <b1> 	<h> <h> <h> <m> <h>	用歌声和面
刀尖	<b0> <b1> <b0> <b0> <b1> <b0> <b1> <b0> <b0> <b1> 	<m> <h> <h> <h> <h> <h> <h> <h> <m> <l>	油锅在颤栗刀尖在祈祷
汉字	<b0> <b1> <b0> <b1> 	<h> <h> <h> <h>	一锅汉字
饭香	<b0> <b1> <b0> <b1> 	<h> <h> <h> <h>	飘出饭香
等待	<b0> <b0> <b1> <b0> <b0> <b1> <b0> 	<h> <h> <m> <l> <l> <h> <h>	多漫长的等待呵
一生	<b0> <b1> <b0> <b0> <b1> 	<h> <h> <h> <h> <l>	一生就为了
夜宽宽夜	<b0> <b0> <b1> <b0> <b0> <b1> 	<h> <h> <h> <h> <m> <m>	夜宽宽夜长长
笔	<b0> <b0> <b0> <b0> <b0> <b0> <b1> <b0> <b1> 	<l> <l> <h> <h> <l> <h> <l> <h> <l>	把笔抓大把自己放小
森林	<b0> <b0> <b1> <b0> <b1> 	<l> <m> <l> <h> <m>	我扛着森林
泉水	<b0> <b0> <b0> <b1> 	<h> <l> <m> <l>	去找泉水
军队	<b0> <b1> <b0> <b1> <b0> <b1> 	<h> <h> <h> <h> <h> <h>	遇到一支军队
城市	<b0> <b1> <b0> <b1> <b0> <b1> 	<h> <h> <h> <h> <m> <h>	遇到一座城市
老鼠	<b0> <b1> <b0> <b0> <b1> <b0> <b1> <b0> 	<h> <h> <h> <h> <h> <m> <l> <h>	最后在一堆老鼠中
鼠疫	<b0> <b1> <b0> <b1> <b0> <b0> <b1> 	<l> <h> <l> <h> <m> <h> <h>	找到鼠疫和忧伤